country,us_2024_deficit,us_2024_exports,us_2024_imports,trump_tariffs_alleged,trump_response,population,export_by_import
Afghanistan,-11.1,11.4,22.6,49%,25%,41454761.0,50.442477876106196
Albania,13.4,141.7,128.3,10%,10%,2745972.0,110.44427123928291
Andorra,1.5,4.9,3.4,10%,10%,80856.0,144.11764705882354
Anguilla,71.3,72.5,1.2,10%,10%,0.0,6041.666666666667
Antigua and Barbuda,550,573.8,23.8,10%,10%,93316.0,2410.9243697478987
Armenia,39.2,160.8,121.6,10%,10%,2990900.0,132.23684210526315
Aruba,714.8,725.5,10.7,10%,10%,107359.0,6780.373831775701
Azerbaijan,97.3,255.1,157.8,10%,10%,10153958.0,161.66032953105193
Barbados,724,772.6,48.6,10%,10%,282336.0,1589.7119341563784
Belarus,-9.4,10.6,20.0,47%,24%,9178298.0,53.0
Belize,509.3,590.4,81.1,10%,10%,411106.0,727.9901356350185
Benin,167.8,216.4,48.6,10%,10%,14111034.0,445.26748971193416
Bermuda,517.1,540.4,23.3,10%,10%,64698.0,2319.31330472103
Bhutan,0.1,3.4,3.3,10%,10%,780914.0,103.03030303030303
Bolivia,-103.1,401.0,504.1,20%,10%,12244159.0,79.5477087879389
Bosnia and Herzegovina,-126.1,53.0,179.1,70%,35%,3185073.0,29.592406476828586
Botswana,-300.8,104.3,405.1,74%,37%,2480244.0,25.746729202666007
British Indian Ocean Territories,5,5.5,0.5,10%,10%,0.0,1100.0
British Virgin Islands,252.7,312.9,60.2,10%,10%,38985.0,519.767441860465
Brunei,-111.6,127.2,238.8,47%,23%,458949.0,53.266331658291456
Burkina Faso,49.8,54.4,4.5,10%,10%,23025776.0,1208.888888888889
Burma,-579.3,77.2,656.5,88%,44%,0.0,11.75932977913176
Burundi,2.9,6.6,3.7,10%,10%,13689450.0,178.37837837837836
Cabo Verde,7.8,12.2,4.5,10%,10%,522331.0,271.1111111111111
Cameroon,-55.7,193.1,248.8,22%,11%,28372687.0,77.61254019292603
Central African Republic,33.6,35.1,1.4,10%,10%,5152421.0,2507.1428571428573
Chad,-20.9,59.9,80.8,26%,13%,19319064.0,74.13366336633663
Christmas Island,0.4,2.1,1.7,10%,10%,0.0,123.52941176470588
Cocos (Keeling) Islands,1.5,2.6,1.1,10%,10%,0.0,236.36363636363632
Comoros,2.9,4.7,1.8,10%,10%,850387.0,261.11111111111114
Congo (Brazzaville),196.9,237.1,40.2,10%,10%,0.0,589.8009950248755
Congo (Kinshasa),-69.8,253.3,323.1,22%,11%,0.0,78.39678118229651
Cook Islands,6,6.9,0.9,10%,10%,0.0,766.6666666666667
Cuba,581.6,586.5,4.9,10%,10%,11019931.0,11969.38775510204
Curacao,791.6,823.5,31.9,10%,10%,147862.0,2581.5047021943574
Djibouti,104.9,145.0,40.1,10%,10%,1152944.0,361.5960099750623
Dominica,56.5,58.8,2.3,10%,10%,66510.0,2556.521739130435
Equatorial Guinea,-32.3,95.4,127.6,25%,13%,1847549.0,74.76489028213167
